x,y,z,qx,qy,qz,qw,speed
89666.5,43126.6,0,0,0,-0.850651,0.525731,2.77778
89665.3,43124.2,0,0,0,-0.921667,0.387981,8.33333
89663.8,43122.6,0,0,0,-0.952493,0.30456,8.33333
89661.2,43120.8,0,0,0,-0.954495,0.298227,11.1111
89658.6,43119.1,0,0,0,-0.963154,0.268949,11.1111
89655.9,43117.2,0,0,0,-0.960603,0.277923,11.1111
89653.7,43115.8,0,0,0,-0.977935,0.208909,11.1111
89650.4,43114.3,0,0,0,0.934242,0.35664,11.1111
89648.1,43115.9,0,0,0,0.962846,0.270052,11.1111
89645.2,43117.7,0,0,0,0.981613,0.190881,13.8889
89643.3,43118.4,0,0,0,0.985277,0.170963,13.8889
89641.7,43119,0,0,0,0.968983,0.247127,13.8889
89639.9,43120,0,0,0,0.980427,0.196882,13.8889
89637.2,43121.1,0,0,0,0.963013,0.269455,13.8889
89635,43122.5,0,0,0,0.94962,0.313403,13.8889
89632.8,43124.1,0,0,0,0.906889,0.42137,13.8889
89631.9,43125.2,0,0,0,0.888006,0.459831,13.8889
89629.8,43128.2,0,0,0,0.836295,0.54828,13.8889
89628.4,43131.3,0,0,0,0.873583,0.486675,13.8889
89625.5,43136.1,0,0,0,0.873583,0.486675,13.8889
89623.3,43139.7,0,0,0,0.873583,0.486675,13.8889
89621.5,43142.5,0,0,0,0.873583,0.486675,13.8889
89619.5,43145.8,0,0,0,0.780666,0.624949,13.8889
89618.9,43148.4,0,0,0,0.86433,0.502925,13.8889
89617.4,43151,0,0,0,0.86433,0.502925,13.8889
89615.7,43154.1,0,0,0,0.863209,0.504846,13.8889
89613.9,43157.1,0,0,0,0.816654,0.577128,13.8889
89612.8,43160.2,0,0,0,0.806812,0.590808,13.8889
89611.6,43164.1,0,0,0,0.348274,0.937393,13.8889
89613.5,43165.7,0,0,0,0.270374,0.962755,11.1111
89616.1,43167.3,0,0,0,-0.0824805,0.996593,10.5556
89619.6,43166.7,0,0,0,-0.402949,0.915222,10.5556
89622.8,43164.5,6.5,0,0,-0.563182,0.826333,10.5556
89624.7,43161.1,0,0,0,-0.552431,0.833559,10.5556
89626.1,43157.5,0,0,0,-0.560629,0.828067,10.5556
89627.5,43154.2,0,0,0,-0.586583,0.809889,10.5556
89628.5,43151.7,0,0,0,-0.532573,0.846384,10.5556
89629.3,43149.3,0,0,0,-0.548814,0.835945,10.5556
89630.3,43147.2,0,0,0,-0.525731,0.850651,10.5556
89631.4,43144.7,0,0,0,-0.480076,0.877227,10.5556
89632.8,43142,0,0,0,-0.294171,0.955753,10.5556
89634.1,43139.9,0,0,0,-0.122183,0.992508,10.5556
89636.2,43138.5,0,0,0,0,1,10.5556
89638.9,43137.8,0,0,0,0,1,8.33333
89640.5,43137.8,0,0,0,0.119579,0.992825,10.5556
89641.9,43137.8,0,0,0,0.119579,0.992825,10.5556
89643.1,43138.1,0,0,0,0.397121,0.917766,10.5556
89644.1,43138.3,0,0,0,0.503956,0.863729,10.5556
89645.2,43139.5,0,0,0,0.580039,0.814589,10.5556
89645.8,43140.5,0,0,0,0.778453,0.627703,10.5556
89646.2,43141.6,0,0,0,0.812803,0.582539,10.5556
89645.8,43143.5,0,0,0,0.833711,0.552201,10.5556
89644.9,43145.9,0,0,0,0.855249,0.518217,10.5556
89643.8,43148.5,0,0,0,0.916541,0.399941,10.5556
89641.8,43152.4,0,0,0,0.899272,0.437389,10.5556
89639.6,43154.8,0,0,0,0.892858,0.450338,10.5556
89636.6,43158.6,0,0,0,0.882522,0.470271,10.5556
89634.2,43161.9,0,0,0,0.899205,0.437527,10.5556
89632.1,43164.9,0,0,0,0.888685,0.458517,10.5556
89630.2,43167.3,0,0,0,0.885492,0.464655,10.5556
89628.7,43169.5,0,0,0,0.923104,0.384551,10.5556
89627.3,43171.5,0,0,0,0.955329,0.295544,10.5556
89625.8,43173.1,0,0,0,0.957087,0.289799,10.5556
89624.2,43174.2,0,0,0,0.877712,0.479188,10.5556
89621,43176.3,0,0,0,0.727572,0.686031,10.5556
89619.6,43178.4,0,0,0,0.528374,0.849012,10.5556
89619.5,43181,0,0,0,0.307523,0.951541,10.5556
89620.7,43183.4,0,0,0,0.274447,0.961602,10.5556
89623,43185.1,0,0,0,0.141421,0.989949,10.5556
89624.7,43186.2,0,0,0,0.0106978,0.999943,10.5556
89626.8,43186.8,0,0,0,-0.155813,0.987787,10.5556
89629,43186.8,0,0,0,-0.223815,0.974632,10.5556
89631.8,43185.9,0,0,0,-0.197238,0.980356,10.5556
89634.6,43184.5,0,0,0,-0.0962014,0.995362,10.5556
89637.2,43183.4,0,0,0,0,1,10.5556
89640.7,43182.8,0,0,0,0.196125,0.980579,10.5556
89643.7,43182.8,0,0,0,0.229753,0.973249,10.5556
89646.5,43183.9,0,0,0,0.221208,0.975227,10.5556
89648.8,43185,0,0,0,0.0288102,0.999585,10.5556
89651.7,43186.4,0,0,0,-0.0307665,0.999527,10.5556
89655,43186.6,0,0,0,-0.266934,0.963715,10.5556
89657.5,43186.5,0,0,0,-0.569299,0.82213,10.5556
89659.6,43185.2,0,0,0,-0.580521,0.814245,10.5556
89660.4,43183,0,0,0,-0.777015,0.629482,8.33333
89661.1,43181.2,0,0,0,-0.9894,0.145213,10.5556
89660.6,43179.1,0,0,0,-0.975227,0.221208,10.5556
89659.4,43178.7,0,0,0,-0.963715,0.266934,10.5556
89657.9,43178,0,0,0,-0.973249,0.229753,10.5556
89656.3,43177.1,0,0,0,-0.977002,0.213231,10.5556
89654.7,43176.2,0,0,0,-0.963409,0.268035,10.5556
89653.1,43175.5,0,0,0,-0.941429,0.337212,10.5556
89651.1,43174.3,0,0,0,-0.914951,0.403566,10.5556
89649,43172.6,0,0,0,-0.817416,0.576048,10.5556
89647.2,43170.6,0,0,0,-0.657025,0.753869,10.5556
89646.4,43168.2,0,0,0,-0.520597,0.853802,8.33333
89646.7,43165.8,0,0,0,-0.36591,0.93065,10.5556
89648.1,43163,0,0,0,-0.213686,0.976902,10.5556
89650,43161.3,0,0,0,0.0166576,0.999861,10.5556
89652.6,43160.1,0,0,0,0.0585209,0.998286,10.5556
89654.7,43160.1,0,0,0,0.204875,0.978788,10.5556
89657.6,43160.5,0,0,0,0.436873,0.899523,10.5556
89660.5,43161.8,0,0,0,0.316887,0.948463,10.5556
89663,43165,0,0,0,0.0966598,0.995317,10.5556
89666.2,43167.4,0,0,0,0,1,10.5556
89669.1,43168,0,0,0,-0.136655,0.990619,10.5556
89671.9,43168,0,0,0,-0.235279,0.971928,10.5556
89673.7,43167.4,0,0,0,-0.398022,0.917376,10.5556
89675.8,43166.4,0,0,0,-0.516353,0.856376,10.5556
