x,y,z,qx,qy,qz,qw,speed
89669.5,43133,0,0,0,-0.854536,0.519391,1.38889
89664.8,43124.2,0,0,0,-0.924442,0.381322,1.38889
89662.3,43121.8,0,0,0,-0.948087,0.318012,1.38889
89659.2,43119.5,0,0,0,-0.95946,0.281844,1.38889
89656.7,43117.8,0.000059,0,0,-0.968799,0.247849,1.38889
89654.3,43116.5,0,0,0,0.99597,0.0896868,1.38889
89652.7,43116.8,0,0,0,0.986495,0.16379,1.38889
89651.4,43117.3,-0.0000305102,0,0,0.970273,0.242012,1.38889
89650,43118,-0.0000218985,0,0,0.951278,0.308335,1.38889
89648.7,43118.9,0,0,0,0.942036,0.335511,4.16667
89647.6,43119.9,-0.000022,0,0,0.968771,0.247956,4.16667
89646.2,43120.6,-0.000027,0,0,0.965843,0.259127,5.55556
89645,43121.3,0.000003,0,0,0.963705,0.266969,5.55556
89643.7,43122.1,0.000061,0,0,0.980625,0.195892,5.55556
89642.7,43122.5,0,0,0,0.978216,0.207591,5.55556
89641.8,43122.9,0,0,0,0.978216,0.207591,5.55556
89640.9,43123.3,0,0,0,0.963715,0.266934,5.55556
89639.9,43123.9,0,0,0,0.979578,0.201066,5.55556
89639.2,43124.2,0,0,0,0.948683,0.316228,6.94444
89638.4,43124.7,0,0,0,0.952541,0.304409,6.94444
89637.5,43125.3,0,0,0,0.961249,0.275683,6.94444
89636.7,43125.8,0,0,0,0.952296,0.305177,6.94444
89636,43126.3,0,0,0,0.961249,0.275683,6.94444
89635.2,43126.8,0,0,0,0.953738,0.300639,6.94444
89634.3,43127.4,0,0,0,0.946753,0.32196,6.94444
89633.5,43128,-0.000008,0,0,0.981956,0.189108,6.94444
89633,43128.2,-0.000122,0,0,0.91224,0.409656,8.33333
89632.2,43129.1,-0.000056,0,0,0.963715,0.266934,8.33333
89631.2,43129.7,-0.000008,0,0,0.92388,0.382683,8.33333
89628.9,43132,-0.000082,0,0,-0.400636,0.916237,8.33333
89630.2,43130.6,-0.000031,0,0,0.904694,0.426063,8.33333
89629.3,43131.7,-0.000029,0,0,0.914514,0.404554,9.02778
89628.3,43132.8,-0.000026,0,0,0.891115,0.453778,9.02778
89627.5,43133.9,0,0,0,0.91224,0.409656,9.02778
89626.7,43134.8,0,0,0,0.894911,0.446245,9.02778
89626.1,43135.6,0,0,0,0.91289,0.408206,9.02778
89625.3,43136.5,0,0,0,0.889168,0.457582,9.72222
89624.8,43137.2,0,0,0,0.881675,0.471858,9.72222
89624.2,43138.1,0,0,0,0.874642,0.484769,9.72222
89623.7,43138.9,0,0,0,0.881675,0.471858,9.72222
89623.1,43139.8,0,0,0,0.874642,0.484769,9.72222
89622.6,43140.6,0,0,0,0.861871,0.507128,9.72222
89622.1,43141.5,0,0,0,0.874642,0.484769,9.72222
89621.6,43142.3,0,0,0,0.861871,0.507128,9.72222
89621.1,43143.2,0,0,0,0.894427,0.447214,9.72222
89620.5,43144,0,0,0,0.861871,0.507128,9.72222
89620,43144.9,0,0,0,0.874642,0.484769,9.72222
89619.5,43145.7,0,0,0,0.894427,0.447214,9.72222
89618.9,43146.5,0,0,0,0.881675,0.471858,9.72222
89618.3,43147.4,0,0,0,0.874642,0.484769,9.72222
89617.8,43148.2,0,0,0,0.894427,0.447214,9.72222
89617.2,43149,0,0,0,0.874642,0.484769,9.72222
89616.7,43149.8,0,0,0,0.881675,0.471858,9.72222
