x,y,z,qx,qy,qz,qw,speed
89666.5,43126.6,0,0,0,-0.850651,0.525731,2.77778
89665.3,43124.2,0,0,0,-0.921667,0.387981,8.33333
89663.9,43122.4,0,0,0,-0.953742,0.300627,8.33333
89661.1,43120.3,0,0,0,-0.960487,0.278326,11.1111
89658.7,43118.7,0,0,0,-0.954163,0.299287,11.1111
89656.4,43117.2,0,0,0,-0.956932,0.290314,11.1111
89654,43115.7,0,0,0,0.994629,0.103504,11.1111
89651.2,43116.3,0,0,0,0.97065,0.240495,11.1111
89649.2,43117.1,0,0,0,0.984442,0.175711,11.1111
89647.1,43117.9,0,0,0,0.990362,0.138505,13.8889
89645,43118.5,0,0,0,0.992223,0.124475,13.8889
89642.5,43119.5,0,0,0,0.987579,0.157125,13.8889
89640.4,43120.5,0,0,0,0.925649,0.378384,13.8889
89638.9,43122,0,0,0,0.890462,0.455057,13.8889
89637.5,43124,0,0,0,0.899587,0.436742,13.8889
89636,43125.9,0,0,0,0.880884,0.473332,13.8889
89634.7,43127.9,0,0,0,0.895097,0.445872,13.8889
89632.8,43130.4,0,0,0,0.889802,0.456346,13.8889
89631.2,43132.6,0,0,0,0.897146,0.441734,10.1944
89629.6,43134.6,0,0,0,0.885173,0.465263,10.1944
89628.2,43136.7,0,0,0,0.904695,0.426059,10.1944
89626.6,43138.8,0,0,0,0.894264,0.447541,10.1944
89624.8,43141.4,0,0,0,0.89808,0.439831,10.1944
89622.9,43143.7,0,0,0,0.890033,0.455896,10.1944
89621.2,43146.2,0,0,0,0.873274,0.487229,10.1944
89619.3,43148.6,0,0,0,0.896856,0.442322,10.1944
89617.4,43151,0,0,0,0.892751,0.45055,10.1944
89615.7,43153.2,0,0,0,0.880313,0.474393,10.1944
89614.2,43155.5,0,0,0,0.787465,0.61636,10.1944
89613.2,43157.8,0,0,0,0.669777,0.742562,10.1944
89613,43160.7,0,0,0,0.42049,0.907297,10.1944
89614,43163.4,0,0,0,0.233832,0.972277,10.1944
89616.4,43164.6,0,0,0,0.0294249,0.999567,10.1944
89619.2,43164.9,0,0,0,-0.213092,0.977032,10.1944
89621.3,43163.6,0,0,0,-0.389894,0.92086,10.1944
89623.1,43161.8,0,0,0,-0.419245,0.907873,10.1944
89624.7,43159.8,0,0,0,-0.441237,0.897391,10.1944
89626.3,43157.9,0,0,0,-0.455805,0.89008,10.1944
89627.9,43155.3,0,0,0,-0.483383,0.875409,10.1944
89629.4,43152.9,0,0,0,-0.534326,0.845278,10.1944
89631,43150.2,0,0,0,-0.506497,0.862242,10.1944
89632.2,43147.9,0,0,0,-0.480799,0.876831,10.1944
89633.8,43145.5,0,0,0,-0.548005,0.836475,10.1944
89634.8,43143.7,0,0,0,-0.525903,0.850544,9.72222
89636.1,43141.5,0,0,0,-0.432007,0.90187,9.72222
89637.7,43139.6,0,0,0,-0.284055,0.958808,6.94444
89639.6,43138.5,0,0,0,-0.205415,0.978675,9.16667
89641.6,43137.6,0,0,0,0.079962,0.996798,9.16667
89643.8,43138.2,0,0,0,0.32519,0.945649,9.16667
89645.6,43139.6,0,0,0,0.504499,0.863412,9.16667
89646.8,43142,0,0,0,0.781864,0.623449,10.1944
89646.8,43145,0,0,0,0.827259,0.561821,10.1944
89645.7,43147.8,0,0,0,0.911355,0.411621,10.1944
89644.6,43149.5,0,0,0,0.910907,0.412612,10.1944
89643.3,43151.1,0,0,0,0.906062,0.423146,10.1944
89642.1,43152.7,0,0,0,0.900134,0.435613,10.1944
89640.2,43155.2,0,0,0,0.90065,0.434546,10.1944
89638,43157.9,0,0,0,0.898991,0.437968,10.1944
89636,43160.6,0,0,0,0.893618,0.448829,10.1944
89634.1,43163.1,0,0,0,0.899616,0.436682,10.1944
89632.1,43165.7,0,0,0,0.890829,0.454338,9.72222
89629.7,43168.6,0,0,0,0.899181,0.437578,9.72222
89627.7,43170.9,0,0,0,0.91277,0.408473,9.72222
89625.8,43173,0,0,0,0.910265,0.414027,9.72222
89623.7,43175.4,0,0,0,0.95317,0.302434,5.55556
89621.5,43177.6,0,0,0,0.851197,0.524846,5.55556
89620.7,43179.5,0,0,0,0.661593,0.749863,8.33333
89620.9,43182.3,0,0,0,0.416224,0.909262,8.33333
89622.4,43184.9,0,0,0,0.133267,0.99108,8.33333
89624.7,43186.4,0,0,0,0.134349,0.990934,8.33333
89627.1,43187,0,0,0,-0.134658,0.990892,8.33333
89630,43187,0,0,0,-0.188935,0.98199,8.33333
89632.9,43186.3,0,0,0,-0.274122,0.961695,8.33333
89635.3,43184.8,0,0,0,-0.298228,0.954495,8.33333
89637.4,43183.4,0,0,0,-0.192891,0.98122,9.72222
89639.3,43182.6,0,0,0,-0.0814888,0.996674,9.72222
89641.7,43182.2,0,0,0,0.0664239,0.997791,10.1944
89644.1,43182,0,0,0,0.186451,0.982464,10.1944
89647.2,43182.9,0,0,0,0.174579,0.984643,10.1944
89650.3,43183.8,0,0,0,0.215371,0.976532,10.1944
89653.3,43185,0,0,0,0.193802,0.981041,10.1944
89655.9,43186.1,0,0,0,0.126778,0.991931,10.1944
89658.1,43186.7,0,0,0,-0.0590188,0.998257,10.1944
89659.5,43186.2,0,0,0,-0.227114,0.973868,10.1944
89661.3,43184.8,0,0,0,-0.569699,0.821853,10.1944
89661.7,43182.7,0,0,0,-0.79767,0.603094,10.1944
89661.1,43180.7,0,0,0,-0.842832,0.538177,10.1944
89660,43179.1,0,0,0,-0.94258,0.33398,10.1944
89658.4,43177.8,0,0,0,-0.94121,0.337822,10.1944
89656.1,43176.3,0,0,0,-0.975136,0.221605,10.1944
89653.4,43175,0,0,0,-0.977256,0.212061,10.1944
89650.4,43173.6,0,0,0,-0.960296,0.278983,10.1944
89647.7,43171.9,0,0,0,-0.900718,0.434404,10.1944
89646.5,43170.3,0,0,0,-0.796186,0.605052,10.1944
89646,43168.7,0,0,0,-0.757934,0.652331,10.1944
89646.3,43166.4,0,0,0,-0.413216,0.910633,10.1944
89648.1,43164.3,0,0,0,-0.314489,0.949261,10.1944
89650.3,43162.7,0,0,0,-0.204088,0.978953,10.1944
89652.7,43161.7,0,0,0,-0.11875,0.992924,10.1944
89655,43161.2,0,0,0,0.0251802,0.999683,10.1944
89657.4,43161.2,0,0,0,0.182292,0.983244,10.1944
89659.6,43162,0,0,0,0.207034,0.978334,10.1944
89661.3,43163.5,0,0,0,0.342103,0.939663,10.1944
89663.2,43165.4,0,0,0,0.338898,0.940823,10.1944
89664.8,43167.6,0,0,0,0.388338,0.921517,10.1944
89666.8,43169.9,0,0,0,0.117631,0.993057,10.1944
89670.4,43170.8,0,0,0,-0.184234,0.982882,10.1944
89673.4,43169.6,0,0,0,-0.270967,0.962589,10.1944
