x,y,z,qx,qy,qz,qw,speed
89627.8,43133,0,0,0,-0.485209,0.874398,10.7778
89626.3,43135.5,0,0,0,0.874398,0.485209,10.7778
89624.6,43138.2,0,0,0,0.874398,0.485209,10.7778
89623.1,43140.6,0,0,0,0.874398,0.485209,10.7778
89621.6,43143,0,0,0,0.874398,0.485209,10.5556
89619.9,43145.7,0,0,0,0.877084,0.480337,10.8333
89618.4,43148,0,0,0,0.874398,0.485209,10.8333
89616.5,43151,0,0,0,0.860566,0.509339,10.8333
89614.8,43153.9,0,0,0,0.737355,0.675506,10.8333
89613.6,43156.1,0,0,0,0.858884,0.512171,10.8333
89612.5,43158.1,0,0,0,0.452016,0.89201,10.8333
89612.3,43160.7,0,0,0,0.137441,0.99051,10.8333
89612.7,43163.6,0,0,0,0.0192201,0.999815,12.5
89613.9,43165.2,0,0,0,-0.121236,0.992624,12.5
89616.2,43165.9,0,0,0,-0.224156,0.974553,12.5
89618.7,43166,0,0,0,-0.278253,0.960508,12.5
89621,43165.4,0,0,0,-0.509844,0.860267,12.5
89623.1,43164.4,0,0,0,-0.576208,0.817303,12.5
89625.2,43163,0,0,0,-0.558562,0.829463,10.8333
89626,43161.5,0,0,0,-0.495479,0.86862,10.8333
89626.9,43159.9,0,0,0,-0.51431,0.857604,10.8333
89627.8,43157.2,0,0,0,-0.563244,0.826291,10.8333
89628.9,43154.4,0,0,0,-0.569493,0.821996,11.1111
89629.7,43152.1,0,0,0,-0.548888,0.835896,11.1111
89630.8,43149.7,0,0,0,0.580149,0.81451,10.8056
89631.7,43147.6,0,0,0,-0.504847,0.863209,10.8056
89633.1,43144.8,0,0,0,-0.504317,0.863518,10.8056
89635.4,43140.9,0,0,0,0.926029,0.377452,10.8056
89638.7,43137,0,0,0,0.929738,0.368221,11.1111
89642.7,43135.8,0,0,0,0.894958,0.44615,11.1111
89646,43137.6,0,0,0,0.901061,0.433693,11.1111
89647.2,43141,0,0,0,0.913464,0.40692,12.5
89646.7,43145.8,0,0,0,0.917099,0.39866,12.5
89645,43150.6,0,0,0,0.926604,0.376039,12.5
89641.2,43154.3,0,0,0,0.924322,0.381614,12.5
89635.8,43159.4,0,0,0,0.922342,0.386373,12.2222
89630.4,43166.6,0,0,0,0.869243,0.494385,12.2222
