x,y,z,qx,qy,qz,qw,speed
89669.9,43133.2,0,0,0,-0.874146,0.485663,1.5
89668.2,43130.5,0,0,0,-0.856705,0.515806,1.5
89666.9,43127.9,0,0,0,-0.876086,0.482156,1.5
89665.4,43125.6,0,0,0,-0.868327,0.495991,1.5
89665.4,43125.6,0,0,0,-0.868327,0.495991,1.5
89663.9,43123.6,0,0,0,-0.936252,0.35133,1.5
89662.3,43122.1,0,0,0,-0.942712,0.333606,1.5
89660.6,43120.8,0,0,0,-0.957355,0.288913,1.38889
89658.9,43119.6,0,0,0,-0.957217,0.289372,1.38889
89656.9,43118.3,6.5,0,0,-0.957146,0.289607,1.38889
89655,43117,0,0,0,-0.964583,0.263779,1.38889
89653,43115.9,6.5,0,0,-0.999527,0.0307655,1.38889
89651.2,43115.8,0,0,0,0.978773,0.204946,1.38889
89649.5,43116.5,6.5,0,0,0.911446,0.41142,1.38889
89648.3,43117.8,6.5,0,0,0.918806,0.394709,1.38889
89647.2,43119.1,0,0,0,0.926663,0.375894,1.38889
89645.9,43120.3,0,0,0,0.990337,0.138683,9.72222
89644.9,43120.4,0,0,0,0.986481,0.163875,9.72222
89643.9,43120.5,0,0,0,0.981794,0.18995,9.72222
89642.9,43120.7,0,0,0,0.976235,0.216716,9.72222
89642,43121,0,0,0,0.969808,0.243871,9.72222
89641,43121.3,0,0,0,0.969808,0.243871,9.72222
89640.1,43121.6,0,0,0,0.962635,0.270801,9.72222
89639.2,43122,0,0,0,0.954951,0.296762,9.72222
89638.3,43122.5,0,0,0,0.946948,0.321386,9.72222
89638.3,43122.5,0,0,0,0.938812,0.34443,9.72222
89637.4,43123,0,0,0,0.930747,0.365664,9.72222
89636.6,43123.5,0,0,0,0.922964,0.384887,9.72222
89635.8,43124.1,0,0,0,0.922964,0.384887,9.72222
89635,43124.7,0,0,0,0.915672,0.401925,9.72222
89634.2,43125.4,0,0,0,0.909071,0.41664,9.72222
89633.5,43126.1,0,0,0,0.903339,0.428928,9.72222
89633.5,43126.1,0,0,0,0.898625,0.438717,9.72222
89632.8,43126.8,0,0,0,0.898625,0.438717,9.72222
89632.2,43127.5,0,0,0,0.89505,0.445966,9.72222
89631.5,43128.3,0,0,0,0.892585,0.450879,9.72222
89630.9,43129.1,0,0,0,0.890911,0.454178,9.72222
89630.9,43129.1,0,0,0,0.889653,0.456636,9.72222
89630.3,43129.9,0,0,0,0.888666,0.458556,9.72222
89629.7,43130.7,0,0,0,0.887914,0.46001,9.72222
89629.1,43131.5,0,0,0,0.887363,0.461072,9.72222
89628.5,43132.3,0,0,0,0.886979,0.46181,9.72222
89628,43133.1,0,0,0,0.886731,0.462286,9.72222
89627.4,43133.9,0,0,0,0.886587,0.462561,9.72222
89626.8,43134.7,0,0,0,0.886502,0.462724,9.72222
89626.2,43135.5,0,0,0,0.886431,0.46286,9.72222
89625.7,43136.4,0,0,0,0.886357,0.463003,9.72222
89625.1,43137.2,0,0,0,0.886272,0.463164,9.72222
89624.5,43138,0,0,0,0.886177,0.463346,9.72222
89623.9,43138.8,0,0,0,0.886076,0.463541,9.72222
89623.4,43139.6,0,0,0,0.885962,0.463758,9.72222
89622.8,43140.5,0,0,0,0.885776,0.464113,9.72222
89622.2,43141.3,0,0,0,0.885457,0.464722,9.72222
89621.7,43142.1,0,0,0,0.885003,0.465585,9.72222
89621.1,43142.9,0,0,0,0.884433,0.466668,9.72222
89620.5,43143.7,0,0,0,0.883758,0.467944,9.72222
89620,43144.6,0,0,0,0.883009,0.469355,9.72222
89619.4,43145.4,0,0,0,0.882145,0.470978,9.72222
89618.8,43146.2,0,0,0,0.880889,0.473323,9.72222
89618.3,43147,0,0,0,0.879,0.476822,9.72222
89617.7,43147.8,0,0,0,0.874525,0.484981,9.72222
89617.2,43148.7,0,0,0,0.866387,0.499373,9.72222
89616.6,43149.5,0,0,0,0.854456,0.519524,9.72222
89616.1,43150.3,0,0,0,0.838895,0.544293,9.72222
89615.5,43151.2,0,0,0,0.819978,0.572395,9.72222
89615,43152,0,0,0,0.798284,0.602281,9.72222
89614.5,43152.9,0,0,0,0.774693,0.632337,9.72222
89614.1,43153.8,0,0,0,0.750516,0.660852,9.72222
89613.7,43154.7,0,0,0,0.727383,0.686231,9.72222
89613.4,43155.7,0,0,0,0.705677,0.708534,8.33333
89613.2,43156.7,0,0,0,0.677543,0.735483,8.33333
89613,43157.6,0,0,0,0.634821,0.77266,8.33333
89612.9,43158.6,0,0,0,0.634821,0.77266,8.33333
89612.9,43159.6,0,0,0,0.577546,0.816358,8.33333
89612.9,43160.6,0,0,0,0.505675,0.862724,8.33333
89613.1,43161.6,0,0,0,0.421737,0.906718,8.33333
89613.1,43161.6,0,0,0,0.333022,0.942919,8.33333
89613.3,43162.6,0,0,0,0.244227,0.969718,8.33333
89613.7,43163.5,0,0,0,0.156167,0.987731,8.33333
89614.3,43164.3,0,0,0,0.0677977,0.997699,8.33333
89615,43165,0,0,0,-0.0157376,0.999876,8.33333
89615.8,43165.5,0,0,0,-0.0852777,0.996357,8.33333
89616.8,43165.9,0,0,0,-0.15379,0.988104,8.33333
89617.7,43166.2,0,0,0,-0.221617,0.975134,8.33333
89618.7,43166.2,0,0,0,-0.285964,0.95824,8.33333
89619.7,43166.1,0,0,0,-0.342656,0.939461,8.33333
89620.7,43165.9,0,0,0,-0.388364,0.921506,8.33333
89621.6,43165.5,0,0,0,-0.423176,0.906047,9.72222
89622.5,43165,0,0,0,-0.451702,0.892169,9.72222
89623.3,43164.4,0,0,0,-0.476938,0.878937,9.72222
89624,43163.7,0,0,0,-0.498893,0.866664,9.72222
89624.7,43163,0,0,0,-0.516641,0.856202,9.72222
89625.3,43162.2,0,0,0,-0.52986,0.848085,9.72222
89625.9,43161.4,0,0,0,-0.539292,0.842119,9.72222
89626.4,43160.5,0,0,0,-0.545883,0.837861,9.72222
89626.9,43159.7,0,0,0,-0.550465,0.834858,9.72222
89627.3,43158.8,0,0,0,-0.5537,0.832716,9.72222
89627.7,43157.9,0,0,0,-0.556,0.831183,9.72222
89628.1,43157,0,0,0,-0.55753,0.830157,9.72222
89628.5,43156,0,0,0,-0.558246,0.829676,9.72222
89628.9,43155.1,0,0,0,-0.558094,0.829778,9.72222
89629.3,43154.2,0,0,0,-0.557493,0.830182,9.72222
89629.7,43153.3,0,0,0,-0.556835,0.830623,9.72222
89630.1,43152.4,0,0,0,-0.55608,0.831129,9.72222
89630.4,43151.4,0,0,0,-0.555107,0.831779,9.72222
89630.8,43150.5,0,0,0,-0.552659,0.833407,9.72222
89631.2,43149.6,0,0,0,-0.545568,0.838067,9.72222
89631.6,43148.7,0,0,0,-0.532865,0.846201,9.72222
89632,43147.7,0,0,0,-0.51486,0.857274,9.72222
89632.3,43146.8,0,0,0,-0.492352,0.870396,9.72222
89632.7,43145.9,0,0,0,-0.466392,0.884578,9.72222
89633.2,43145,0,0,0,-0.438654,0.898656,9.72222
89633.6,43144.1,0,0,0,-0.411171,0.911558,9.72222
89634.1,43143.2,0,0,0,-0.385819,0.922575,9.72222
89634.6,43142.4,0,0,0,-0.36087,0.932616,9.72222
89635.2,43141.6,0,0,0,-0.326327,0.945257,9.72222
89635.9,43140.8,0,0,0,-0.277632,0.960688,9.72222
89636.5,43140.1,0,0,0,-0.217371,0.976089,9.72222
89637.3,43139.4,0,0,0,-0.145986,0.989287,8.33333
89638,43138.8,0,0,0,-0.0637368,0.997967,8.33333
89638.8,43138.2,0,0,0,0.0282303,0.999601,8.33333
89639.7,43137.7,0,0,0,0.126838,0.991923,8.33333
89640.6,43137.4,0,0,0,0.227091,0.973873,8.33333
89641.6,43137.1,0,0,0,0.323915,0.946086,8.33333
89642.6,43137.1,0,0,0,0.412814,0.910815,8.33333
89643.6,43137.3,0,0,0,0.492535,0.870293,8.33333
89644.5,43137.6,0,0,0,0.55571,0.831376,8.33333
89645.4,43138.1,0,0,0,0.603404,0.797436,8.33333
89646.1,43138.8,0,0,0,0.648869,0.7609,8.33333
89646.7,43139.6,0,0,0,0.695845,0.718192,8.33333
89647.1,43140.5,0,0,0,0.741925,0.670483,8.33333
89647.4,43141.5,0,0,0,0.783513,0.621375,8.33333
89647.7,43142.4,0,0,0,0.817491,0.575941,8.33333
89647.8,43143.4,0,0,0,0.841882,0.539662,8.33333
89647.7,43144.4,0,0,0,0.85684,0.515583,9.72222
89647.6,43145.4,0,0,0,0.866388,0.499372,9.72222
89647.3,43146.4,0,0,0,0.874359,0.485281,9.72222
