x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.0674883,43130.6945594,0.0,0.0,0.0,0.8908735393706145,0.4542514026937883,4.166666666666667
89628.3148229,43133.1098699,0.0,0.0,0.0,0.8876786755288125,0.4604634285276228,4.166666666666667
89626.5962446,43135.5491846,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,4.166666666666667
89624.8893618,43137.9966586,0.0,0.0,0.0,0.8866177348157583,0.46250296465014545,4.166666666666667
89623.1819638,43140.4439264,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,4.166666666666667
89621.4806511,43142.8958758,0.0,0.0,0.0,0.8858404744325861,0.4639899286159677,4.166666666666667
89619.7813115,43145.3490954,0.0,0.0,0.0,0.8840654740746551,0.4673630682340607,4.166666666666667
89618.100974,43147.8148295,0.0,0.0,0.0,0.8817338975541988,0.47174710799736924,4.166666666666667
89616.4459781,43150.2959718,0.0,0.0,0.0,0.8747329353994254,0.48460529477865233,4.166666666666667
89614.8648117,43152.8237383,0.0,0.0,0.0,0.8520352631869781,0.5234843935456882,4.166666666666667
89613.5157321,43155.4866665,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,4.166666666666667
89612.6932589,43158.3481709,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,4.166666666666667
89612.7291468,43161.3404789,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,4.166666666666667
89613.7741219,43164.1124982,0.0,0.0,0.0,0.332024351633184,0.9432708147306179,4.166666666666667
89616.038489,43165.9320151,0.0,0.0,0.0,0.09576117963897977,0.9954043381833089,4.166666666666667
89618.9507637,43166.4975904,0.0,0.0,0.0,-0.17146598580861655,0.9851900404037179,4.166666666666667
89621.7102618,43165.5070397,0.0,0.0,0.0,-0.3722981364651079,0.9281131922263619,4.166666666666667
89623.8840814,43163.4286152,0.0,0.0,0.0,-0.43347161461633327,0.9011672205101054,4.166666666666667
89625.7384085,43161.107721,0.0,0.0,0.0,-0.5077202816800768,0.8615219762552221,4.166666666666667
89627.1816511,43158.5014474,0.0,0.0,0.0,-0.5357086988320535,0.8444028600115399,4.166666666666667
89628.4528769,43155.8019154,0.0,0.0,0.0,-0.5575441010496636,0.8301473214946384,4.166666666666667
89629.5826044,43153.0374306,0.0,0.0,0.0,-0.569086621168504,0.8222775794140417,4.166666666666667
89630.6338945,43150.2444985,0.0,0.0,0.0,-0.5754089864036024,0.8178658192918805,4.166666666666667
89631.6416905,43147.4365437,0.0,0.0,0.0,-0.5627461040185667,0.8266297976796654,4.166666666666667
89632.735265,43144.6615014,0.0,0.0,0.0,-0.5391197762746242,0.842229105902663,4.166666666666667
89633.9843187,43141.9524083,0.0,0.0,0.0,-0.4827668298672085,0.8757489297623867,4.166666666666667
89635.5745345,43139.4337709,0.0,0.0,0.0,-0.4079178646441331,0.9130186283445539,4.166666666666667
89637.5534927,43137.2244489,0.0,0.0,0.0,-0.292455668677891,0.9562790815751266,4.166666666666667
89640.0553154,43135.5363089,0.0,0.0,0.0,-0.05998691073245061,0.9981991637648155,4.166666666666667
89642.9227511,43135.1904219,0.0,0.0,0.0,0.20896211765899306,0.9779237359750858,4.166666666666667
89645.6603403,43136.416328,0.0,0.0,0.0,0.4116341613628447,0.911349174136405,4.166666666666667
89647.6248442,43138.6458016,0.0,0.0,0.0,0.6246657673928817,0.7808922326720008,4.166666666666667
89648.2626323,43141.4794231,0.0,0.0,0.0,0.7832773490854948,0.6216724172822853,4.166666666666667
89647.5933048,43144.3504048,0.0,0.0,0.0,0.857465587370185,0.5145413165877971,4.166666666666667
89646.1721464,43147.0157589,0.0,0.0,0.0,0.8708035686669237,0.49163110641714936,4.166666666666667
89644.6241974,43149.5813871,0.0,0.0,0.0,0.8809465932568951,0.47321570116498735,4.166666666666667
89642.9816378,43152.0617517,0.0,0.0,0.0,0.8880961309255639,0.45965776642524336,4.166666666666667
89641.2638414,43154.4905828,0.0,0.0,0.0,0.8944066538726735,0.44725466739687314,4.166666666666667
89639.4771382,43156.8733096,0.0,0.0,0.0,0.8994355144724612,0.437053492499098,4.166666666666667
89637.6355434,43159.2162561,0.0,0.0,0.0,0.9048184535022841,0.4257975648142377,4.166666666666667
89635.7318312,43161.5176381,0.0,0.0,0.0,0.9090449834628126,0.4166979938049796,4.166666666666667
89633.7847531,43163.7775397,0.0,0.0,0.0,0.9112566626678846,0.4118389184418941,4.166666666666667
89631.807161,43166.0239011,0.0,0.0,0.0,0.9061282124747289,0.4230031472192053,4.166666666666667
89629.8754824,43168.3299613,0.0,0.0,0.0,0.8961587401628248,0.4437336052518206,4.166666666666667
89628.0728391,43170.6949574,0.0,0.0,0.0,0.910750913033808,0.41295614102236705,4.166666666666667
89626.1769196,43172.8592263,0.0,0.0,0.0,0.9266429901665514,0.37594250727364215,4.166666666666667
89623.9486293,43175.0235088,0.0,0.0,0.0,0.9147809610709267,0.4039502361209258,4.166666666666667
89621.8924551,43177.279314,0.0,0.0,0.0,0.8485892155880054,0.5290523066651669,4.166666666666667
89620.6436101,43179.8265982,0.0,0.0,0.0,0.728821829374664,0.6847033963892454,4.166666666666667
89620.4575395,43182.8044835,0.0,0.0,0.0,0.5630982111452201,0.826389983364424,4.166666666666667
89621.5366302,43185.5496266,0.0,0.0,0.0,0.3286829582510043,0.9444403173072232,4.166666666666667
89623.8589911,43187.3888367,0.0,0.0,0.0,0.12938257007302117,0.9915947511767595,4.166666666666667
89626.7369063,43188.1528607,0.0,0.0,0.0,-0.07385668109901548,0.9972688657814593,4.166666666666667
89629.6624967,43187.7171386,0.0,0.0,0.0,-0.2575909540408127,0.9662540558240074,4.166666666666667
89632.1322734,43186.2995723,0.0,0.0,0.0,-0.30761263760673174,0.9515116736985572,4.166666666666667
89634.642422,43184.4871419,0.0,0.0,0.0,-0.28523867458020946,0.9584565188487819,4.166666666666667
89637.2185154,43182.8048442,0.0,0.0,0.0,-0.16309707481772462,0.9866100263963982,4.166666666666667
89639.9822828,43181.8654118,0.0,0.0,0.0,-0.010236687938377616,0.9999476037373419,4.166666666666667
89642.8997601,43181.8056718,0.0,0.0,0.0,0.09308971293312407,0.9956577249969131,4.166666666666667
89645.8452275,43182.3613059,0.0,0.0,0.0,0.17807506128305492,0.9840169066378058,4.166666666666667
89648.6392499,43183.4067994,0.0,0.0,0.0,0.2411108788165292,0.9704975755334585,4.166666666666667
89651.2792464,43184.8048551,0.0,0.0,0.0,0.2339750928861401,0.9722425910794703,4.166666666666667
89653.9579201,43186.1733861,0.0,0.0,0.0,0.19750779225370946,0.9803013169424315,4.166666666666667
89656.6963393,43187.3235285,0.0,0.0,0.0,0.05636396520517176,0.9984102881212463,4.166666666666667
89659.6203205,43187.6547232,0.0,0.0,0.0,-0.1454691660696094,0.989362785697447,4.166666666666667
89662.4651057,43186.7996826,0.0,0.0,0.0,-0.3657077530044179,0.9307297348814315,4.166666666666667
89664.6106667,43184.8057444,0.0,0.0,0.0,-0.5878076130764408,0.8090007478422855,4.166666666666667
89665.5325817,43181.967848,0.0,0.0,0.0,-0.7747529171375446,0.6322641199584751,4.166666666666667
89664.935136,43179.048337,0.0,0.0,0.0,-0.9166981447152033,0.39958041928465937,4.166666666666667
89662.9442058,43176.9055483,0.0,0.0,0.0,-0.9843713092218439,0.17610543881684312,4.166666666666667
89660.1639421,43175.8778704,0.0,0.0,0.0,-0.9971781210849405,0.07507193103622414,4.166666666666667
89657.2102013,43175.4305943,0.0,0.0,0.0,-0.9972539196028841,0.07405821923787008,4.166666666666667
89654.2806368,43174.9930699,0.0,0.0,0.0,-0.9997565601577378,0.022064007377795614,4.166666666666667
89651.3331751,43174.8629092,0.0,0.0,0.0,-0.992242636921292,0.12431632827380802,4.166666666666667
89648.4162398,43174.1203376,0.0,0.0,0.0,-0.9475226557161067,0.31968862492227695,4.166666666666667
89646.0517212,43172.3198272,0.0,0.0,0.0,-0.8432138474349931,0.5375782803405251,4.166666666666667
89644.8059817,43169.643714,0.0,0.0,0.0,-0.6564636282494393,0.7543576769580741,4.166666666666667
89645.2109152,43166.7398693,0.0,0.0,0.0,-0.4945173049374769,0.8691677830645671,4.166666666666667
89646.7245623,43164.1930428,0.0,0.0,0.0,-0.33370536788151833,0.9426774249164241,4.166666666666667
89649.02619,43162.3300419,0.0,0.0,0.0,-0.21225915536109857,0.9772134111673831,4.166666666666667
89651.7586664,43161.0842303,0.0,0.0,0.0,-0.19573755537508275,0.9806563156456937,4.166666666666667
89654.5054536,43159.9422239,0.0,0.0,0.0,-0.05278493969535571,0.9986059033178993,4.166666666666667
89657.4697214,43159.6279716,0.0,0.0,0.0,0.1411861230448185,0.9899830698853256,4.166666666666667
89660.3626944,43160.4702638,0.0,0.0,0.0,0.35102082374937327,0.9363676528449236,4.166666666666667
89662.4415384,43162.2837251,0.0,0.0,0.0,0.5354900752916257,0.8445415201540828,4.166666666666667
89663.7433917,43165.0445869,0.0,0.0,0.0,0.5110277742991312,0.8595641999844318,4.166666666666667
89665.2345049,43167.7868371,0.0,0.0,0.0,0.34441465897057894,0.9388176301530451,4.166666666666667
89667.3815109,43169.6071241,0.0,0.0,0.0,0.08988924132185128,0.9959517680563562,4.166666666666667
89670.31274,43170.1405835,0.0,0.0,0.0,-0.11824461086394951,0.992984497362186,4.166666666666667
89673.1466288,43169.4559564,0.0,0.0,0.0,-0.323006029562265,0.9463969066234427,4.166666666666667
89675.5262027,43167.6175006,0.0,0.0,0.0,-0.42447616441697544,0.9054391121670484,4.166666666666667
89677.4284359,43165.3315296,0.0,0.0,0.0,-0.5091040737697995,0.8607049680761664,4.166666666666667
89678.8681197,43162.7118511,0.0,0.0,0.0,-0.6013346264321142,0.7989972885146418,4.166666666666667
89679.6925565,43159.8496954,0.0,0.0,0.0,-0.7061737775748178,0.70803855535254,4.166666666666667
89679.7003982,43156.8762018,0.0,0.0,0.0,-0.8080324855597675,0.5891379314558723,4.166666666666667
89678.7977386,43154.0661426,0.0,0.0,0.0,-0.8853121205988576,0.46499725711100043,4.166666666666667
89677.1083911,43151.6154561,0.0,0.0,0.0,-0.9404983717076164,0.33979819424964897,4.166666666666667
89674.8028642,43149.6993879,0.0,0.0,0.0,-0.9739198258370323,0.22689242570338192,4.166666666666667
89672.1227492,43148.3789591,0.0,0.0,0.0,-0.9891849951871773,0.14667326033242728,4.166666666666667
89669.3292198,43147.5319041,0.0,0.0,0.0,-0.9971812764698786,0.07503000638346888,4.166666666666667
89666.3609214,43147.0826789,0.0,0.0,0.0,-0.9961427292799749,0.08774772306243922,4.166666666666667
89663.3324443,43146.5449646,0.0,0.0,0.0,-0.9778782579378492,0.20917483752219612,4.166666666666667
89660.6440009,43145.3396618,0.0,0.0,0.0,-0.933167496544508,0.3594418219863341,4.166666666666667
89658.4792854,43143.381505,0.0,0.0,0.0,-0.8632584064457605,0.5047622447258968,4.166666666666667
89657.0352283,43140.8154564,0.0,0.0,0.0,-0.7950627518188138,0.6065271804876474,4.166666666666667
89656.238542,43137.9077219,0.0,0.0,0.0,-0.7510417630247489,0.6602547010000587,4.166666666666667
89655.8555614,43134.9432991,0.0,0.0,0.0,-0.7080952829356616,0.706116895623002,4.166666666666667
89655.8472057,43131.9568491,0.0,0.0,0.0,-0.7210344599986351,0.6928992044262113,4.166666666666667
89655.7284935,43128.975097,0.0,0.0,0.0,-0.7619313945974922,0.6476577413470179,4.166666666666667
89655.2524796,43126.058527,0.0,0.0,0.0,-0.8275232331096908,0.5614314728118511,4.166666666666667
89654.1702684,43123.3377092,0.0,0.0,0.0,-0.9101396753080152,0.4143015464975005,4.166666666666667
89652.2090483,43121.0855021,0.0,0.0,0.0,-0.9676719327347926,0.2522122728919253,4.166666666666667
89649.5600958,43119.6040256,0.0,0.0,0.0,-0.9974819751057261,0.07092044373225234,4.166666666666667
89646.6368387,43119.1862295,0.0,0.0,0.0,0.9947869496846417,0.10197511822560594,4.166666666666667
89643.7432982,43119.7857603,0.0,0.0,0.0,0.986322808956259,0.16482510892650695,4.166666666666667
89640.9191229,43120.7567768,0.0,0.0,0.0,0.9716927871044858,0.2362480211326994,4.166666666666667
89638.2639728,43122.1289866,0.0,0.0,0.0,0.9497567881320265,0.3129888870185922,4.166666666666667
89635.8697192,43123.8992766,0.0,0.0,0.0,0.9231581559177825,0.3844203677778783,4.166666666666667
