lanelet_id,way_id,boundary_type,node_id,sequence_order,local_x,local_y,elevation,latitude,longitude
14,9165,left,11,1,89660.3701,43128.8083,6.5,35.62579839633,139.78150047248
14,9165,left,1115,2,89660.442,43126.7651,6.5,35.62577998602,139.78150154582
14,9165,left,12,3,89660.509,43124.861,6.5,35.62576282906,139.78150254603
14,9165,left,1124,4,89660.1988,43123.595,6.5,35.62575138211,139.78149929431
14,9165,left,1119,5,89659.6648,43122.514,6.5,35.62574157783,139.78149354633
14,9165,left,1125,6,89658.7661,43121.4686,6.5,35.62573205374,139.78148376685
14,9749,left,1126,14,89649.6781,43116.3096,6.5,35.62568453309,139.78138413267
14,9749,left,16,15,89648.6402,43116.6203,6.5,35.62568721795,139.7813726308
14,9749,left,1128,16,89646.905,43116.9241,6.5,35.62568976273,139.78135343103
14,9167,right,8,1,89653.9564,43131.2322,6.5,35.62581953015,139.78142932763
14,9167,right,1166,2,89653.9083,43130.1375,6.5,35.62580965665,139.78142894632
14,9167,right,593,3,89653.8787,43129.4623,6.5,35.62580356678,139.78142871188
14,9167,right,1167,4,89653.5785,43128.3257,6.5,35.62579328741,139.78142555288
14,9167,right,1165,5,89653.0692,43127.3652,6.5,35.62578457213,139.78142006112
14,9167,right,594,6,89652.6234,43126.7927,6.5,35.62577936156,139.78141521739
14,9167,right,592,7,89651.7781,43125.7834,6.5,35.62577016885,139.78140602257
14,9167,right,1164,8,89651.0104,43125.0192,6.5,35.62576319425,139.78139765099
14,9167,right,1323,9,89650.1732,43124.5215,6.5,35.62575861424,139.78138847561
14,9167,right,15,10,89649.4596,43124.3081,6.5,35.62575661085,139.78138062599
14,9167,right,1168,11,89648.4018,43124.1967,6.5,35.62575548849,139.78136896214
14,9167,right,1324,12,89647.5372,43124.4318,6.5,35.62575751121,139.78135938398
1483,9114,left,1136,1,89631.0758,43123.4905,6.5,35.62574718706,139.7811777636
1483,9114,left,1137,2,89629.9659,43125.3204,6.5,35.62576355862,139.78116525889
1483,9114,left,1138,3,89628.6648,43127.4672,6.5,35.62578276551,139.78115059978
1483,9114,left,1139,4,89627.0138,43130.0758,6.5,35.62580609619,139.78113201426
1483,9114,left,1140,5,89625.1193,43132.9462,6.5,35.62583175964,139.78111070443
1483,9114,left,1141,6,89623.1689,43135.706,6.5,35.62585641985,139.78108879253
1483,9114,left,1142,7,89621.8171,43137.6276,6.5,35.625873591,139.78107360443
1483,9114,left,1143,8,89620.5968,43139.9483,6.5,35.62589437452,139.78105981359
1483,9114,left,1144,9,89618.4066,43143.7031,6.5,35.62592797731,139.78103511788
1483,9114,left,1145,10,89617.7493,43144.5923,6.5,35.62593591953,139.78102773898
1483,9114,left,1146,11,89617.1128,43145.4788,6.5,35.62594383973,139.78102059009
1483,9114,left,1147,12,89616.0385,43147.0511,6.5,35.62595789314,139.78100851363
1483,9114,left,1148,13,89615.0733,43148.5169,6.5,35.62597099869,139.7809976563
1483,9114,left,1149,14,89614.3003,43149.8639,6.5,35.6259830548,139.7809889373
1483,9114,left,1150,15,89613.8498,43150.8018,6.5,35.62599145912,139.780983835
1483,9114,left,1151,16,89613.228,43151.8145,6.5,35.62600051859,139.78097683114
1483,9116,right,1173,1,89636.975,43128.0381,6.5,35.62578884023,139.78124227404
1483,9116,right,1174,2,89635.7541,43129.9285,6.5,35.62580574478,139.78122853552
1483,9116,right,1175,3,89634.486,43131.8999,6.5,35.62582337423,139.78121426477
1483,9116,right,1176,4,89633.0198,43134.0843,6.5,35.62584290162,139.78119777766
1483,9116,right,1177,5,89631.6166,43136.3632,6.5,35.62586328792,139.78118197319
1483,9116,right,1178,6,89629.8394,43139.1876,6.5,35.62588854982,139.78116196476
1483,9116,right,1179,7,89627.3175,43143.1404,6.5,35.62592390044,139.78113357971
1483,9116,right,1180,8,89625.6871,43145.63,6.5,35.62594616069,139.78111523787
1483,9116,right,1181,9,89624.1793,43148.1448,6.5,35.6259686618,139.7810982462
1483,9116,right,1182,10,89623.381,43149.4681,6.5,35.62598050145,139.78108925112
1483,9116,right,1183,11,89623.0163,43150.0206,6.5,35.62598544119,139.78108514888
1483,9116,right,1184,12,89621.9726,43151.5909,6.5,35.62599947999,139.78107341054
1483,9116,right,1185,13,89620.6687,43153.6975,6.5,35.62601832417,139.78105872596
1483,9116,right,1186,14,89619.4241,43155.5519,6.5,35.62603490153,139.7810447306
2256,2259,left,2250,1,89621.2873,43189.8181,6.5,35.62634400098,139.78106061302
2256,2259,left,479,2,89623.4225,43191.2812,6.5,35.62635742859,139.78108398758
2256,2259,left,1048,3,89624.7226,43191.9947,6.5,35.62636400566,139.78109824436
2256,2259,left,41,4,89625.7822,43192.448,6.5,35.6263682103,139.78110988139
2256,2259,left,1047,5,89626.8558,43192.8391,6.5,35.6263718558,139.78112168151
