x,y,z,qx,qy,qz,qw,speed
89669.8,43133.2,0,0,0,-0.864178,0.503187,1.55556
89668.2,43130.5,0,0,0,-0.856705,0.515806,1.55556
89666.9,43127.9,0,0,0,-0.876086,0.482156,1.55556
89665.4,43125.6,0,0,0,-0.868327,0.495991,1.55556
89663,43122.3,0,0,0,-0.963101,0.26914,5.55556
89661.3,43121.3,6.50001,0,0,-0.944136,0.329556,5.55556
89659.8,43120.1,0,0,0,-0.950928,0.309411,5.55556
89658,43119,6.5,0,0,-0.942686,0.33368,5.55556
89656.6,43118,0,0,0,-0.98849,0.151284,5.55556
89654.7,43117.4,6.5,0,0,0.987416,0.158145,5.55556
89653.2,43117.9,-3e-05,0,0,0.967624,0.252395,5.55556
89651.8,43118.7,6.5,0,0,0.995709,0.0925414,5.55556
89650.2,43119,0,0,0,0.997541,0.0700841,5.55556
89648.8,43119.2,6.5,0,0,0.994898,0.10089,5.55556
89647.4,43119.5,0,0,0,0.99087,0.13482,5.55556
89645.9,43119.9,6.5,0,0,0.997033,0.0769799,5.55556
89644.6,43120.1,0,0,0,0.880755,0.473572,5.55556
89642.1,43120.8,0,0,0,0.887679,0.460463,5.55556
89638.7,43122.2,0,0,0,0.886576,0.462583,5.55556
89636.7,43123.4,0,0,0,0.886618,0.462503,5.55556
89634.4,43124.8,0,0,0,0.886023,0.463642,5.55556
89632.7,43126.5,0,0,0,0.88584,0.46399,5.55556
89630.5,43129.7,0,0,0,0.884065,0.467363,5.55556
89628.3,43133.1,0,0,0,0.881734,0.471747,5.55556
89626.6,43135.5,0,0,0,0.874733,0.484605,5.55556
89624.9,43138,0,0,0,0.852035,0.523484,5.55556
89623.2,43140.4,0,0,0,0.798825,0.601564,5.55556
89621.5,43142.9,0,0,0,0.702854,0.711334,5.55556
89619.8,43145.3,0,0,0,0.568884,0.822418,5.55556
89618.1,43147.8,0,0,0,0.332024,0.943271,5.55556
89616.4,43150.3,0,0,0,0.0957612,0.995404,5.55556
89614.9,43152.8,0,0,0,-0.171466,0.98519,5.55556
89613.5,43155.5,0,0,0,-0.372298,0.928113,5.55556
89612.7,43158.3,0,0,0,-0.433472,0.901167,5.55556
89612.7,43161.3,0,0,0,-0.50772,0.861522,5.55556
89613.8,43164.1,0,0,0,-0.535709,0.844403,5.55556
89616,43165.9,0,0,0,-0.557544,0.830147,5.55556
89619,43166.5,0,0,0,-0.569087,0.822278,5.55556
89621.7,43165.5,0,0,0,-0.477121,0.878837,5.55556
89623.9,43163.4,0,0,0,-0.5511,0.834439,5.55556
89625.7,43161.1,0,0,0,-0.518683,0.854967,5.55556
89627.2,43158.5,0,0,0,-0.49334,0.869836,5.55556
89628.5,43155.8,0,0,0,-0.352614,0.935769,5.55556
89629.6,43153,0,0,0,-0.23237,0.972628,5.55556
89630.6,43150.2,0,0,0,-0.0544057,0.998519,5.55556
89632.3,43147.8,0,0,0,0.160678,0.987007,5.55556
89633.2,43145.5,0,0,0,0.343524,0.939144,5.55556
89634.5,43143.1,0,0,0,0.554016,0.832506,5.55556
89636.1,43140.3,0,0,0,0.699456,0.714676,5.55556
89638.4,43138.3,0,0,0,0.855279,0.518168,5.55556
89640.7,43137.2,0,0,0,0.855458,0.517873,5.55556
89642.8,43136.9,0,0,0,0.882001,0.471247,5.55556
89644.9,43137.6,0,0,0,0.909974,0.414665,5.55556
89646.7,43139.2,0,0,0,0.931912,0.362684,5.55556
89647.6,43141.3,0,0,0,0.899436,0.437053,5.55556
89647.7,43145.1,0,0,0,0.904818,0.425798,5.55556
89646.3,43147.8,0,0,0,0.909045,0.416698,5.55556
89644.9,43150.5,0,0,0,0.911257,0.411839,5.55556
89643.2,43153.1,0,0,0,0.906128,0.423003,5.55556
89641.4,43155.1,0,0,0,0.896159,0.443734,5.55556
89639.5,43156.9,0,0,0,0.910751,0.412956,5.55556
89637.6,43159.2,0,0,0,0.926643,0.375943,5.55556
89635.7,43161.5,0,0,0,0.941253,0.337701,5.55556
89633.8,43163.8,0,0,0,0.845594,0.533826,5.55556
89631.8,43166,0,0,0,0.678018,0.735046,5.55556
89629.9,43168.3,0,0,0,0.563098,0.82639,5.55556
89628.1,43170.7,0,0,0,0.328683,0.94444,5.55556
89626.2,43172.9,0,0,0,0.129383,0.991595,5.55556
89623.9,43175,0,0,0,-0.0738567,0.997269,5.55556
89621.6,43176.9,0,0,0,-0.257591,0.966254,5.55556
89620.2,43179.9,0,0,0,-0.307613,0.951512,5.55556
89620.5,43182.8,0,0,0,-0.285239,0.958457,5.55556
89621.5,43185.5,0,0,0,-0.163097,0.98661,5.55556
89623.9,43187.4,0,0,0,-0.0102367,0.999948,5.55556
89626.7,43188.2,0,0,0,0.0930897,0.995658,5.55556
89629.7,43187.7,0,0,0,0.178075,0.984017,5.55556
89632.1,43186.3,0,0,0,0.241111,0.970498,5.55556
89634.6,43184.5,0,0,0,0.233975,0.972243,5.55556
89637.2,43182.8,0,0,0,0.197508,0.980301,5.55556
89640,43181.9,0,0,0,0.056364,0.99841,5.55556
89642.9,43181.8,0,0,0,-0.145469,0.989363,5.55556
89645.8,43182.4,0,0,0,-0.42261,0.906311,5.55556
89648.6,43183.4,0,0,0,-0.61422,0.789135,5.55556
89651.3,43184.8,0,0,0,-0.72301,0.690837,5.55556
89654,43186.2,0,0,0,-0.883558,0.468321,5.55556
89656.7,43187.3,0,0,0,-0.980175,0.198135,5.55556
89659.6,43187.7,0,0,0,-0.997178,0.0750719,5.55556
89662.5,43186.8,0,0,0,-0.997254,0.0740582,5.55556
89663.8,43185.2,0,0,0,-0.999403,0.0345591,5.55556
89664.6,43182,0,0,0,-0.98346,0.181125,5.55556
89664.5,43179.3,0,0,0,-0.947133,0.320841,5.55556
89663,43177.1,0,0,0,-0.835952,0.548803,5.55556
89660.2,43175.9,0,0,0,-0.642321,0.766436,5.55556
89657.2,43175.4,0,0,0,-0.476306,0.87928,5.55556
89654.3,43175,0,0,0,-0.402601,0.915376,5.55556
89651.4,43174.8,0,0,0,-0.212259,0.977213,5.55556
89648.4,43173.7,0,0,0,-0.195738,0.980656,5.55556
89646.1,43171.9,0,0,0,-0.0527849,0.998606,5.55556
89645.2,43169.7,0,0,0,0.141186,0.989983,5.55556
89645.7,43166.6,0,0,0,0.351021,0.936368,5.55556
89647.2,43164.3,0,0,0,0.53549,0.844542,5.55556
89649,43162.3,0,0,0,0.511028,0.859564,5.55556
89651.8,43161.1,0,0,0,0.424725,0.905322,5.55556
89654.5,43159.9,0,0,0,0.112211,0.993684,5.55556
89657.5,43159.6,0,0,0,-0.230744,0.973015,5.55556
89660.4,43160.5,0,0,0,-0.323006,0.946397,5.55556
89662.4,43162.3,0,0,0,-0.424476,0.905439,5.55556
89663.7,43165,0,0,0,-0.509104,0.860705,5.55556
89665.2,43167.8,0,0,0,-0.601335,0.798997,5.55556
89667.3,43170.2,0,0,0,-0.706174,0.708039,5.55556
89670.3,43170.9,0,0,0,-0.808032,0.589138,5.55556
89673.1,43169.5,0,0,0,-0.885312,0.464997,5.55556
89675.5,43167.6,0,0,0,-0.940498,0.339798,5.55556
89677.4,43165.3,0,0,0,-0.97392,0.226892,5.55556
89678.9,43162.7,0,0,0,-0.989185,0.146673,5.55556
89679.7,43159.8,0,0,0,-0.997181,0.07503,5.55556
89679.7,43156.9,0,0,0,-0.996143,0.0877477,5.55556
89678.8,43154.1,0,0,0,-0.996104,0.0881856,5.55556
89677.1,43151.6,0,0,0,-0.940848,0.338829,5.55556
89674.8,43149.7,0,0,0,-0.975,0.222206,5.55556
89672.1,43148.4,0,0,0,-0.987919,0.154971,5.55556
89669.3,43147.5,0,0,0,-0.99767,0.0682197,5.55556
89666.4,43147.1,0,0,0,-0.995435,0.0954467,5.55556
89663.3,43146.5,0,0,0,-0.99627,0.0862954,5.55556
89660.3,43146,0,0,0,-0.92388,0.382683,5.55556
89658.2,43143.9,0,0,0,-0.883,0.469374,5.55556
89656.8,43140.9,0,0,0,-0.767497,0.641053,5.55556
89656.2,43137.9,0,0,0,-0.718782,0.695236,5.55556
89656.1,43134.7,0,0,0,-0.663195,0.748447,5.55556
89656.4,43132.1,0,0,0,-0.718461,0.695568,5.55556
89656.3,43129.3,0,0,0,0.9622,0.272343,5.55556
