x,y,z,qx,qy,qz,qw,speed
89631.2,43132.6,-3.04627e-05,0,0,0.897146,0.441734,10.2778
89629.6,43134.6,-2.18985e-05,0,0,0.885173,0.465263,10.2778
89628.2,43136.7,-2.35361e-05,0,0,0.904695,0.426059,10.2778
89626.6,43138.8,-3.02216e-05,0,0,0.894264,0.447541,10.2778
89624.8,43141.4,2.18985e-05,0,0,0.89808,0.439831,10.2778
89622.9,43143.7,0,0,0,0.890033,0.455896,10.2778
89621.2,43146.2,0,0,0,0.873274,0.487229,10.2778
89619.3,43148.6,0,0,0,0.896856,0.442322,10.2778
89617.4,43151,0,0,0,0.892751,0.45055,10.2778
89615.7,43153.2,0,0,0,0.880313,0.474393,10.2778
89614.2,43155.5,0,0,0,0.836279,0.548304,10.2778
89613.2,43157.8,0,0,0,0.669777,0.742562,10.1944
89613,43160.7,0,0,0,0.42049,0.907297,10.1944
89614,43163.4,0,0,0,0.233832,0.972277,10.1944
89616.4,43164.6,-5.79834e-06,0,0,0.0294249,0.999567,10.1944
89619.2,43164.9,-4.81885e-05,0,0,-0.213092,0.977032,10.1944
89621.3,43163.6,0,0,0,-0.389894,0.92086,10.1944
89623.1,43161.8,0,0,0,-0.419245,0.907873,10.1944
89624.7,43159.8,2.42343e-05,0,0,-0.441237,0.897391,10.1944
89626.3,43157.9,0,0,0,-0.455805,0.89008,10.1944
89627.9,43155.3,0,0,0,-0.483383,0.875409,10.1944
89629.4,43152.9,0,0,0,-0.534326,0.845278,10.1944
89631,43150.2,0,0,0,-0.506497,0.862242,10.1944
89632.2,43147.9,0,0,0,-0.480799,0.876831,10.1944
89633.8,43145.5,0,0,0,-0.548005,0.836475,10.1944
89634.8,43143.7,0,0,0,-0.525903,0.850544,9.72222
89636.1,43141.5,0,0,0,-0.432007,0.90187,9.72222
89637.7,43139.6,0,0,0,-0.284055,0.958808,6.94444
89639.6,43138.5,0,0,0,-0.205415,0.978675,9.16667
89641.6,43137.6,0,0,0,0.079962,0.996798,9.16667
89643.8,43138.2,0,0,0,0.32519,0.945649,9.16667
89645.6,43139.6,0,0,0,0.504499,0.863412,9.16667
89646.8,43142,0,0,0,0.781864,0.623449,10.1944
89646.8,43145,0,0,0,0.827259,0.561821,10.1944
89645.7,43147.8,0,0,0,0.911355,0.411621,10.1944
89644.6,43149.5,0,0,0,0.910907,0.412612,10.1944
89643.3,43151.1,0,0,0,0.906062,0.423146,10.1944
89642.1,43152.7,3.05163e-05,0,0,0.900134,0.435613,10.1944
89640.2,43155.2,0,0,0,0.90065,0.434546,10.1944
89638,43157.9,0,0,0,0.898991,0.437968,10.1944
89636,43160.6,0,0,0,0.893618,0.448829,10.1944
89634.1,43163.1,0,0,0,0.899616,0.436682,10.1944
89632.1,43165.7,0,0,0,0.890829,0.454338,9.72222
89629.7,43168.6,0,0,0,0.899181,0.437578,9.72222
89627.7,43170.9,0,0,0,0.91277,0.408473,9.72222
89625.8,43173,0,0,0,0.910265,0.414027,9.72222
89623.7,43175.4,0,0,0,0.95317,0.302434,5.55556
89621.5,43177.6,0,0,0,0.851197,0.524846,5.55556
89620.7,43179.5,0,0,0,0.661593,0.749863,8.33333
89620.9,43182.3,-2.80833e-05,0,0,0.416224,0.909262,8.33333
89622.4,43184.9,-5.23176e-05,0,0,0.133267,0.99108,8.33333
89624.7,43186.4,-0.000137986,0,0,0.134349,0.990934,8.33333
89627.1,43187,-8.53919e-05,0,0,-0.134658,0.990892,8.33333
89630,43187,-6.23821e-05,0,0,-0.188935,0.98199,8.33333
89632.9,43186.3,-5.63586e-05,0,0,-0.274122,0.961695,8.33333
89635.3,43184.8,-4.63689e-05,0,0,-0.298228,0.954495,8.33333
89637.4,43183.4,-4.90769e-05,0,0,-0.192891,0.98122,9.72222
89639.3,43182.6,-4.94732e-05,0,0,-0.0814888,0.996674,9.72222
89641.7,43182.2,-5.39858e-05,0,0,0.0664239,0.997791,10.1944
89644.1,43182,-5.18742e-05,0,0,0.186451,0.982464,10.1944
89647.2,43182.9,-9.06696e-05,0,0,0.174579,0.984643,10.1944
89650.3,43183.8,-6.05798e-05,0,0,0.215371,0.976532,10.1944
