# 200273d6-cf29-42db-928f-66b77a822107
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89656.3124028; 43129.1596191; 2.9692004; -0.0763779; 7.6814793; -1.2138392
0.9993518; 89656.0937620; 43128.1515306; 2.8849408; -0.0873544; 7.5219027; -1.1883580
1.9987036; 89655.7990183; 43127.2054014; 2.7920986; -0.1003775; 7.3623260; 0.0464652
2.9980553; 89655.4202040; 43126.3112561; 2.6865189; -0.1197816; 7.3686304; 2.1055712
3.9974071; 89654.9347945; 43125.4574646; 2.5607078; -0.1320800; 7.6488644; 2.1841533
4.9967589; 89654.3248478; 43124.6493941; 2.4315302; -0.1192657; 7.9290984; 2.4410318
5.9961107; 89653.6399628; 43123.9336997; 2.3305843; -0.0865535; 8.2310085; 2.5573571
6.9954624; 89652.8778914; 43123.2666627; 2.2513139; -0.0727399; 8.5358596; 2.6051923
7.9948142; 89652.0721947; 43122.6614659; 2.1783151; -0.0773773; 8.8356045; 2.3531191
8.9941660; 89651.2032925; 43122.1146510; 2.0803469; -0.1141976; 9.0978621; 2.4219427
9.9935178; 89650.3209937; 43121.6908950; 1.9511168; -0.1484323; 9.3601196; 2.2933154
10.9928695; 89649.4057720; 43121.4013058; 1.8043770; -0.1436453; 9.6018486; 2.2078229
11.9922213; 89648.4377875; 43121.2361531; 1.6815657; -0.1050742; 9.8289511; 2.2350837
12.9915731; 89647.4041518; 43121.1703732; 1.5940559; -0.0653349; 10.0536337; 1.6964761
13.9909249; 89646.4534061; 43121.1741780; 1.5429318; -0.0437885; 10.2208758; 1.7244642
14.9902767; 89645.4495242; 43121.2214990; 1.5069672; -0.0287307; 10.3881180; 1.7384613
15.9896284; 89644.4079722; 43121.3015982; 1.4830181; -0.0189101; 10.5540355; 1.5015812
16.9889802; 89643.4168655; 43121.4009421; 1.4560708; -0.0352224; 10.6952737; 1.5215424
17.9883320; 89642.4206139; 43121.5365943; 1.4118587; -0.0531793; 10.8365120; 1.5415036
18.9876838; 89641.4395191; 43121.7241849; 1.3482504; -0.0750441; 10.9777503; 1.6927918
19.9870355; 89640.4505045; 43121.9904587; 1.2668838; -0.0802419; 11.1307857; 1.7464345
20.9863873; 89639.5025323; 43122.3307576; 1.1850070; -0.0826670; 11.2864961; 1.7706959
21.9857391; 89638.6146491; 43122.7345198; 1.1022001; -0.0875845; 11.4422066; 2.0772466
22.9850909; 89637.7426566; 43123.2252056; 1.0153249; -0.0823511; 11.6222154; 2.2047775
23.9844426; 89636.9179657; 43123.7821611; 0.9410830; -0.0655602; 11.8102747; 2.2401667
24.9837944; 89636.1346136; 43124.3884640; 0.8868187; -0.0434700; 11.9983339; 2.5857223
25.9831462; 89635.3844806; 43125.0260262; 0.8461473; -0.0405360; 12.2118021; 2.6546038
26.9824980; 89634.6501075; 43125.7028467; 0.8064275; -0.0389879; 12.4271427; 2.7193628
27.9818497; 89633.9324812; 43126.4182522; 0.7677552; -0.0369955; 12.6439343; 3.0682763
28.9812015; 89633.2579965; 43127.1412859; 0.7347473; -0.0299686; 12.8841628; 3.1260235
29.9805533; 89632.5970342; 43127.8936919; 0.7078410; -0.0239116; 13.1243912; 3.2025487
30.9799051; 89631.9497993; 43128.6672728; 0.6864667; -0.0186940; 13.3660237; 3.5808238
31.9792569; 89631.3240520; 43129.4449132; 0.6691445; -0.0160369; 13.6311260; 3.6511486
32.9786086; 89630.7097894; 43130.2338455; 0.6543895; -0.0134937; 13.8962282; 3.7244400
33.9779604; 89630.1060453; 43131.0312480; 0.6421281; -0.0110516; 14.1615398; 4.1094168
34.9773122; 89629.5115096; 43131.8352335; 0.6314840; -0.0102341; 14.4486233; 4.1918872
35.9766640; 89628.9256556; 43132.6446672; 0.6216750; -0.0093962; 14.7357069; 4.2743576
36.9760157; 89628.3475931; 43133.4593268; 0.6127145; -0.0085418; 15.0227904; 4.5822743
37.9753675; 89627.7759471; 43134.2793494; 0.6052126; -0.0064246; 15.3245828; 4.6818784
38.9747193; 89627.2096492; 43135.1029248; 0.5998694; -0.0042678; 15.6269167; 4.7733434
39.9740711; 89626.6471410; 43135.9285086; 0.5966825; -0.0021118; 15.9292506; 4.8630951
40.9734228; 89626.0857559; 43136.7564552; 0.5951696; -0.0009941; 16.2314790; 4.9543479
41.9727746; 89625.5256542; 43137.5842791; 0.5946920; 0.0000395; 16.5336984; 5.0457437
42.9721264; 89624.9661595; 43138.4111353; 0.5952497; 0.0010790; 16.8359178; 4.9090682
43.9714782; 89624.4045773; 43139.2392543; 0.5966533; 0.0016760; 17.1248328; 4.9626942
44.9708300; 89623.8421619; 43140.0656163; 0.5986000; 0.0022199; 17.4120319; 5.0452309
45.9701817; 89623.2788086; 43140.8894231; 0.6010892; 0.0027695; 17.6992309; 3.6289455
46.9695335; 89622.7120019; 43141.7135813; 0.6037319; 0.0023842; 17.9029596; 3.4282330
47.9688853; 89622.1437075; 43142.5357001; 0.6058443; 0.0018420; 18.0933132; 3.4644911
48.9682371; 89621.5745415; 43143.3558501; 0.6074101; 0.0012941; 18.2836669; -9.8364797
49.9675888; 89621.0033196; 43144.1768429; 0.6081320; 0.0000458; 17.7378766; -11.7340737
50.9669406; 89620.4323643; 43144.9973740; 0.6074908; -0.0013305; 17.0639776; -11.2796393
51.9662924; 89619.8632496; 43145.8175838; 0.6054714; -0.0027175; 16.3900786; -10.4595871
52.9656442; 89619.2961439; 43146.6395541; 0.6022603; -0.0036416; 15.7394111; -9.9746396
53.9649959; 89618.7319939; 43147.4636317; 0.5982118; -0.0044610; 15.0928034; -9.5562669
54.9643477; 89618.1707077; 43148.2914147; 0.5933547; -0.0052445; 14.4461957; -8.2295537
55.9636995; 89617.6171339; 43149.1179869; 0.5859929; -0.0101338; 13.8652130; -7.7459291
56.9630513; 89617.0702065; 43149.9527266; 0.5731621; -0.0155382; 13.2951990; -7.4208024
57.9624030; 89616.5330454; 43150.8010304; 0.5549512; -0.0206782; 12.7251850; -6.6276773
58.9617548; 89616.0177250; 43151.6536012; 0.5313102; -0.0270279; 12.1935873; -6.2548237
