x,y,z,qx,qy,qz,qw,speed
89669.800000,43133.200000,0.000000,0,0,-0.864178,0.503187,1.555556
89668.200000,43130.500000,0.000000,0,0,-0.856705,0.515806,1.555556
89666.900000,43127.900000,0.000000,0,0,-0.876086,0.482156,1.555556
89665.400000,43125.600000,0.000000,0,0,-0.868327,0.495991,1.555556
89663.000000,43122.300000,0.000000,0,0,-0.953566,0.301184,1.555556
89661.400000,43121.100000,6.500000,0,0,-0.934634,0.355611,1.555556
89659.900000,43119.800000,0.000000,0,0,-0.957956,0.286915,1.555556
89658.100000,43118.600000,6.500000,0,0,-0.982178,0.187953,1.555556
89656.400000,43117.600000,0.000000,0,0,-0.995003,0.0998462,1.555556
89654.800000,43117.300000,6.500000,0,0,0.97817,0.207805,1.555556
89653.200000,43118.000000,-0.000030,0,0,0.981076,0.193624,1.555556
89651.800000,43118.700000,6.500000,0,0,0.994511,0.104628,1.555556
89650.200000,43119.000000,0.000000,0,0,0.997541,0.0700841,1.555556
89648.800000,43119.200000,6.500000,0,0,0.996633,0.0819871,1.555556
89647.300000,43119.500000,0.000000,0,0,0.922506,0.385984,1.555556
89645.900000,43119.900000,6.500000,0,0,0.995806,0.0914887,1.555556
89644.600000,43120.100000,0.000000,0,0,0.880755,0.473572,1.555556
89642.100000,43120.800000,0.000000,0,0,0.887679,0.460463,1.555556
89638.700000,43122.200000,0.000000,0,0,0.886576,0.462583,1.555556
89636.700000,43123.400000,0.000000,0,0,0.886618,0.462503,1.555556
89634.400000,43124.800000,0.000000,0,0,0.886023,0.463642,1.555556
89632.700000,43126.500000,0.000000,0,0,0.88584,0.46399,1.555556
89630.500000,43129.700000,0.000000,0,0,0.884065,0.467363,1.555556
89628.300000,43133.100000,0.000000,0,0,0.881734,0.471747,1.555556
89626.600000,43135.500000,0.000000,0,0,0.874733,0.484605,1.555556
89624.900000,43138.000000,0.000000,0,0,0.852035,0.523484,1.555556
89623.200000,43140.400000,0.000000,0,0,0.798825,0.601564,1.555556
89621.500000,43142.900000,0.000000,0,0,0.702854,0.711334,1.555556
89619.800000,43145.300000,0.000000,0,0,0.568884,0.822418,1.555556
89618.100000,43147.800000,0.000000,0,0,0.332024,0.943271,1.555556
