x,y,z,qx,qy,qz,qw,speed
89669.800000,43133.200000,0.000000,0,0,-0.868774,0.495209,1.388890
89668.200000,43130.500000,0.000000,0,0,-0.856705,0.515806,1.388890
89666.900000,43127.900000,0.000000,0,0,-0.876086,0.482156,1.388890
89665.400000,43125.600000,0.000000,0,0,-0.891053,0.4539,1.388890
89662.900000,43122.400000,0.000000,0,0,-0.964109,0.265506,1.388890
89661.300000,43121.400000,6.500010,0,0,-0.954492,0.298236,1.388890
89659.700000,43120.300000,0.000000,0,0,-0.958399,0.285433,1.388890
89657.900000,43119.200000,6.500000,0,0,-0.947616,0.319412,1.388890
89656.400000,43118.200000,0.000000,0,0,-0.962662,0.270707,1.388890
89654.900000,43117.300000,6.499940,0,0,0.997522,0.0703613,1.388890
89653.500000,43117.600000,-0.000054,0,0,0.961238,0.275719,1.388890
89652.000000,43118.500000,6.500060,0,0,0.985887,0.16741,1.388890
89650.500000,43119.000000,0.000000,0,0,0.998183,0.0602552,1.388890
89648.800000,43119.200000,6.500000,0,0,0.994435,0.105351,1.388890
89647.400000,43119.500000,0.000000,0,0,0.991523,0.129933,8.333330
89645.900000,43119.900000,6.500000,0,0,0.997033,0.0769799,8.333330
89644.600000,43120.100000,0.000000,0,0,0.880755,0.473572,8.333330
89642.100000,43120.800000,0.000000,0,0,0.887679,0.460463,8.333330
89638.700000,43122.200000,0.000000,0,0,0.963209,0.268753,8.333330
89636.700000,43123.400000,0.000000,0,0,0.886618,0.462503,8.333330
89634.400000,43124.800000,0.000000,0,0,0.886023,0.463642,8.333330
89632.700000,43126.500000,0.000000,0,0,0.88584,0.46399,8.333330
89630.500000,43129.700000,0.000000,0,0,0.877239,0.480053,8.333330
89628.300000,43133.100000,0.000000,0,0,0.887605,0.460606,8.333330
89626.600000,43135.500000,0.000000,0,0,0.874733,0.484605,8.333330
89624.900000,43138.000000,0.000000,0,0,0.852035,0.523484,8.333330
89623.200000,43140.400000,0.000000,0,0,0.798825,0.601564,8.333330
89621.500000,43142.900000,0.000000,0,0,0.702854,0.711334,8.333330
89619.800000,43145.300000,0.000000,0,0,0.568884,0.822418,8.333330
89618.100000,43147.800000,0.000000,0,0,0.332024,0.943271,8.333330
89616.400000,43150.300000,0.000000,0,0,0.0957612,0.995404,8.333330
89614.900000,43152.800000,0.000000,0,0,-0.171466,0.98519,8.333330
89613.500000,43155.500000,0.000000,0,0,-0.372298,0.928113,8.333330
89612.700000,43158.300000,0.000000,0,0,-0.433472,0.901167,8.333330
89612.700000,43161.300000,0.000000,0,0,-0.50772,0.861522,8.333330
89613.800000,43164.100000,0.000000,0,0,-0.535709,0.844403,8.333330
89616.000000,43165.900000,0.000000,0,0,-0.557544,0.830147,8.333330
89619.000000,43166.500000,0.000000,0,0,-0.569087,0.822278,8.333330
89621.700000,43165.500000,0.000000,0,0,-0.477121,0.878837,8.333330
89623.900000,43163.400000,0.000000,0,0,-0.5511,0.834439,8.333330
89625.700000,43161.100000,0.000000,0,0,-0.518683,0.854967,8.333330
89627.200000,43158.500000,0.000000,0,0,-0.49334,0.869836,8.333330
89628.500000,43155.800000,0.000000,0,0,-0.352614,0.935769,8.333330
89629.600000,43153.000000,0.000000,0,0,-0.23237,0.972628,8.333330
89630.600000,43150.200000,0.000000,0,0,-0.0544057,0.998519,8.333330
89632.300000,43147.800000,0.000000,0,0,0.160678,0.987007,8.333330
89633.200000,43145.500000,0.000000,0,0,0.343524,0.939144,8.333330
89634.500000,43143.100000,0.000000,0,0,0.554016,0.832506,8.333330
89636.100000,43140.300000,0.000000,0,0,-0.350778,0.936458,8.333330
89638.400000,43138.300000,0.000000,0,0,-0.222544,0.974923,8.333330
