left_x,left_y,left_z,right_x,right_y,right_z
89684.1,43139.7,6.5,89682.9,43141.4,6.5
89661,43125,6.5,89660.8,43127.2,6.5
89684.5,43160.9,6.5,89683.7,43155.7,6.5
89686.2,43158.5,6.5,89683.3,43152.7,6.5
89686.7,43156.7,6.5,89681.2,43148.4,6.5
89686.6,43155,6.5,89681.8,43146.8,6.5
89686.4,43153.1,6.5,89680.4,43145.6,6.5
89686.2,43151.6,6.5,89681.6,43143.4,6.5
89685.7,43150.1,6.5,89683.8,43140.3,6.5
89687,43148.1,6.5,89685.6,43137.3,6.5
89687.8,43147,6.5,89654,43131.2,6.5
89688.9,43145.2,6.5,89653.9,43130.1,6.5
89690,43143.6,6.5,89653.9,43129.5,6.5
89691.5,43141.1,6.5,89653.6,43128.3,6.5
89660.4,43128.8,6.5,89653.1,43127.4,6.5
89660.4,43126.8,6.5,89652.6,43126.8,6.5
89660.5,43124.9,6.5,89651.8,43125.8,6.5
89660.2,43123.6,6.5,89651,43125,6.5
89659.7,43122.5,6.5,89650.2,43124.5,6.5
89658.8,43121.5,6.5,89649.5,43124.3,6.5
89657.5,43120.6,6.5,89648.4,43124.2,6.5
89655.9,43119.6,6.5,89647.5,43124.4,6.5
89654.8,43119,6.5,89637,43128,6.5
89653.7,43118.3,6.5,89635.8,43129.9,6.5
89652.6,43117.7,6.5,89634.5,43131.9,6.5
89651.8,43117.1,6.5,89633,43134.1,6.5
89651.1,43116.6,6.5,89631.6,43136.4,6.5
89649.7,43116.4,6.5,89629.8,43139.2,6.5
89648.6,43116.6,6.5,89627.3,43143.1,6.5
89646.9,43116.9,6.5,89625.7,43145.6,6.5
89631.1,43123.5,6.5,89624.2,43148.1,6.5
89630,43125.3,6.5,89623.4,43149.5,6.5
89628.7,43127.5,6.5,89623,43150,6.5
89627,43130.1,6.5,89622,43151.6,6.5
89625.1,43132.9,6.5,89620.7,43153.7,6.5
89623.2,43135.7,6.5,89619.4,43155.6,6.5
89621.8,43137.6,6.5,89650.2,43158.2,6.5
89620.6,43139.9,6.5,89652.7,43157,6.5
89618.4,43143.7,6.5,89655.4,43156,6.5
89617.7,43144.6,6.5,89657.4,43155.5,6.5
89617.1,43145.5,6.5,89659.4,43155.5,6.5
89616,43147.1,6.5,89660.9,43155.8,6.5
89615.1,43148.5,6.5,89662.5,43156.4,6.5
89614.3,43149.9,6.5,89664,43157.2,6.5
89613.8,43150.8,6.5,89665.3,43158.4,6.5
89613.2,43151.8,6.5,89666.6,43160.2,6.5
89652.9,43165,6.5,89667.2,43161.7,6.5
89653.9,43164.6,6.5,89667.4,43162.5,6.5
89655.1,43164.2,6.5,89667.6,43163.3,6.5
89655.9,43163.9,6.5,89667.5,43164.1,6.5
89657.1,43163.3,6.5,89667.4,43164.8,6.5
89657.9,43163,6.5,89667.2,43165.6,6.5
89659.4,43162.8,6.5,89667.3,43166.4,6.5
89660.2,43163.7,6.5,89667.8,43167.4,6.5
89660.5,43164.5,6.5,89668.8,43167.8,6.5
89660.1,43165.2,6.5,89669.8,43167.9,6.5
89659.4,43165.9,6.5,89625.6,43183.2,6.5
89659.1,43166.6,6.5,89625.6,43183.2,6.5
89658.7,43167.6,6.5,89626.7,43183.9,6.5
89658.6,43168.7,6.5,89627.4,43184.4,6.5
89658.9,43169.6,6.5,89628.3,43185.2,6.5
89659.7,43170.1,6.5,89629.3,43185.5,6.5
89660.3,43170.6,6.5,89630.5,43185.2,6.5
